Date,JPY=X
2019-08-01,106.43800354003906
2019-09-01,107.94400024414062
2019-10-01,108.78900146484375
2019-11-01,109.44499969482422
2019-12-01,108.87300109863281
2020-01-01,108.87699890136719
2020-02-01,108.13600158691406
2020-03-01,108.03500366210938
2020-04-01,106.61000061035156
2020-05-01,107.76000213623047
2020-06-01,107.58999633789062
2020-07-01,104.68299865722656
2020-08-01,105.53500366210938
2020-09-01,105.66400146484375
2020-10-01,104.55400085449219
2020-11-01,104.08200073242188
2020-12-01,103.12100219726562
2021-01-01,104.68000030517578
2021-02-01,106.52999877929688
2021-03-01,110.30500030517578
2021-04-01,108.90399932861328
2021-05-01,109.90699768066406
2021-06-01,110.53500366210938
2021-07-01,109.66999816894531
2021-08-01,109.94400024414062
2021-09-01,111.93599700927734
2021-10-01,113.83499908447266
2021-11-01,113.80400085449219
2021-12-01,115.06300354003906
2022-01-01,115.26200103759766
2022-02-01,115.58499908447266
2022-03-01,122.02100372314453
2022-04-01,129.6820068359375
2022-05-01,127.78399658203125
2022-06-01,136.58900451660156
2022-07-01,133.22999572753906
2022-08-01,138.73399353027344
2022-09-01,144.43099975585938
2022-10-01,147.81199645996094
2022-11-01,138.7449951171875
2022-12-01,131.11000061035156
2023-01-01,130.47900390625
2023-02-01,136.31700134277344
2023-03-01,133.2010040283203
2023-04-01,136.32000732421875
2023-05-01,139.79200744628906
2023-06-01,144.77999877929688
2023-07-01,140.75799560546875
2023-08-01,146.0989990234375
2023-09-01,149.3699951171875
2023-10-01,149.11099243164062
2023-11-01,147.03900146484375
2023-12-01,141.02000427246094
2024-01-01,147.36900329589844
2024-02-01,150.656005859375
2024-03-01,151.33999633789062
2024-04-01,156.31399536132812
2024-05-01,156.9530029296875
2024-06-01,160.8800048828125
2024-07-01,160.78399658203125
