Date,Open_AAPL,High_AAPL,Low_AAPL,Close_AAPL,Volume_AAPL
2024-12-18 09:30:00-05:00,252.22000122070312,253.39999389648438,252.1699981689453,253.14999389648438,1472998
2024-12-18 09:31:00-05:00,253.1300048828125,253.18499755859375,252.24000549316406,252.38999938964844,225397
2024-12-18 09:32:00-05:00,252.406005859375,252.66990661621094,252.13999938964844,252.25999450683594,146234
2024-12-18 09:33:00-05:00,252.27999877929688,252.47000122070312,252.14999389648438,252.22000122070312,141407
2024-12-18 09:34:00-05:00,252.22000122070312,252.33200073242188,252.0500030517578,252.1199951171875,163997
2024-12-18 09:35:00-05:00,252.1374053955078,252.1999969482422,251.88999938964844,251.9199981689453,156955
2024-12-18 09:36:00-05:00,251.89999389648438,252.05999755859375,251.7899932861328,251.94590759277344,173212
2024-12-18 09:37:00-05:00,251.91000366210938,251.9696044921875,251.7301025390625,251.83999633789062,126706
2024-12-18 09:38:00-05:00,251.8300018310547,251.9600067138672,251.60000610351562,251.6981964111328,119698
2024-12-18 09:39:00-05:00,251.7050018310547,251.88499450683594,251.60000610351562,251.6199951171875,114691
2024-12-18 09:40:00-05:00,251.6199951171875,251.67999267578125,251.42649841308594,251.47500610351562,130565
2024-12-18 09:41:00-05:00,251.47000122070312,251.8000030517578,251.47000122070312,251.7899932861328,116705
2024-12-18 09:42:00-05:00,251.8000030517578,252.01499938964844,251.8000030517578,251.92999267578125,148110
2024-12-18 09:43:00-05:00,251.9199981689453,251.9199981689453,251.61000061035156,251.6999969482422,128171
2024-12-18 09:44:00-05:00,251.6999053955078,251.77999877929688,251.47000122070312,251.75,119692
2024-12-18 09:45:00-05:00,251.74000549316406,251.74000549316406,251.5800018310547,251.6300048828125,79918
2024-12-18 09:46:00-05:00,251.63499450683594,251.82989501953125,251.61000061035156,251.64999389648438,81075
2024-12-18 09:47:00-05:00,251.64999389648438,251.7899932861328,251.47999572753906,251.47999572753906,93303
